4511.73 7305.18,30
4236.29 7131.77,60
3932.15 6871.66,60
3992.09 6591.15,60
4045.35 6344.21,30
4035.21 5758.96,120
4027.93 5445.3,60
4276.44 5163.94,60
4488.45 4992.23,60
4649.23 4855.8,60
4918.8 4550.64,60
5049.48 4324.1,60
4818.3 4049.12,60
4422.7 3983.24,180
4159.35 3932.24,60
3813.23 3878.26,60
3289.76 3673.83,120
3068.77 3425.2,60
2837.79 3175.29,60
2753.72 2788.95,120
2799.11 2410.68,120
2941.23 2229.63,60
3271.58 2216.88,120
3631.04 2117.0,120
3835.57 1844.56,120
3863.3 1660.11,60
3639.17 1503.28,120
3694.87 1290.34,60
3843.79 1076.99,60
3756.0 756.53,120
3500.01 733.57,60
3422.94 803.28,60
